FAMID ID ILMN_1662174 ILMN_1670576 ILMN_3245973 ILMN_1668277 ILMN_1666206 ILMN_1724762 ILMN_1707448 ILMN_2300695 ILMN_2200917 ILMN_1699599 ILMN_1797428 ILMN_1771862 ILMN_1690907 ILMN_1715680 ILMN_1687213 ILMN_1691693 ILMN_3248511
809 809 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
810 810 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
813 813 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
814 814 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
815 815 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
826 826 -0.734286582 -0.485096436 0.002414343 0.199505599 -0.6721087638 0.281020426 -0.015288636 0.399471601 -0.094368697 0.969244306 0.8546136728 -0.1434749921 -0.151615662 -0.169363419 -0.98313047 0.703248288 -1.25191653
827 827 -0.154884745 0.989815835 0.556885077 -0.118591268 0.1401939191 0.050511301 -0.142229512 0.447188146 0.076825162 -0.055365726 0.0938856692 0.2380394166 0.682734131 -0.201626125 -1.03933296 0.3204451812 -0.77523733
829 829 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
835 835 0.216168967 0.220976576 -0.174699696 0.058100573 0.1911645804 0.026364459 0.066072783 -0.116504804 0.01750815 -1.033754582 -0.7408107498 -0.2054571005 0.535751083 -0.038910828 0.65857364 -0.6826987989 0.80989155
838 838 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
840 840 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
841 841 0.539312568 -0.806262674 0.125749458 -0.273381629 0.1850385855 -0.390628387 -0.028241569 -0.316975746 0.09451638 -0.035719863 -0.2062168141 0.0264719146 -0.054405225 -0.279051842 2.11713071 -0.2998037578 1.9509653
842 842 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
844 844 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
845 845 -0.386796741 0.375386981 0.053856884 0.108680316 -0.1007017121 -0.23316013 -0.183165554 0.055430152 0.11105031 -0.66105331 -0.9255180212 -0.2177778112 -0.07280347 -0.370080539 -1.13194366 -0.6811342109 -0.87009807
854 854 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
867 867 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
868 868 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
878 878 -0.049971302 0.42725141 0.11894858 -0.146850372 0.2951079369 0.132537149 0.149918217 0.743545126 0.196337865 -0.62732662 -0.8512836985 -0.0365134682 0.024056545 0.252943251 0.62209703 -0.2591505173 0.72194417
879 879 -0.166506121 1.076464631 0.076790215 0.085893994 -0.3649106327 0.563440945 -0.261180873 -0.235814004 0.089427475 0.641432583 0.6413788993 0.2451306334 0.101315652 0.229329949 -0.60321081 0.2720441207 -0.7936275
882 882 -0.043905699 -0.18228464 -0.094936379 -0.049186112 -0.0002964219 -0.36444754 -0.341891143 -0.119468113 -0.071256317 0.998546901 0.645108894 -0.3288570868 0.22083756 0.176096815 -0.79199066 0.5325571517 -0.53843354
884 884 -0.429214389 1.005778538 -0.073952792 -0.640814862 -0.4012654231 0.133549831 -0.335198194 0.265084604 -0.177441222 0.022194003 0.3497521813 -0.4083537522 0.013990936 0.483775272 1.07521737 -0.0514546233 1.02782118
891 891 0.149480112 1.041962523 0.220703689 -0.104899496 0.3536105474 0.207563461 -0.778521073 -1.205285582 0.247915542 0.409672598 0.6161976938 -0.1125660924 0.184750847 0.045437008 0.52615031 0.3956044022 0.2662889
892 892 0.385386926 -1.034734582 0.182569797 -0.00732413 0.0392660489 0.009754411 -0.024155119 -0.16641674 -0.173378912 -0.816257407 -0.5618107088 -0.1810586731 0.202309311 -0.116722063 -0.86084423 -0.5372309164 -1.14866123
893 893 -0.134527839 0.002064361 0.306364237 0.226040912 0.4764379421 -0.003242977 0.116799685 0.454496689 0.18495388 0.680273053 0.2661425732 -0.3156036718 0.022439455 -0.488317639 0.18464887 0.2307372478 0.14783244
896 896 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
898 898 0.038078196 -0.798571541 0.159946233 -0.160348091 0.6317522508 0.302622233 -0.414312321 0.60181242 -0.140971099 -0.264398165 -0.2834683327 0.2457414422 0.00818661 0.140472975 0.40241977 -0.110012047 0.81499577
905 905 1.012701509 0.280088143 0.35320156 0.101430199 1.0384673146 -0.264894964 0.247550679 -0.330228728 0.211078453 0.055404514 -0.0423077106 0.4086749069 0.270658228 0.524375876 -0.63644325 0.0172603093 -0.68835629
912 912 0.744081923 0.31713504 0.274579715 0.061277375 0.3213425303 -0.282342858 0.365069392 -0.568097845 -0.31962746 -0.613704371 -0.6193489497 0.0025811189 0.01653106 -0.328990721 1.43200982 -0.2820345202 1.35242607
915 915 -0.054931756 -0.862783375 -0.212497 0.105608206 0.4290918793 0.486945686 0.208375124 0.29199588 0.001687388 -0.158503018 -0.2514467207 0.3718428021 0.196925394 -0.215309188 -0.8687461 -0.238472354 -1.10176027
923 923 -0.353406031 -0.830886017 0.050849333 0.108242111 0.0384737787 -0.139355327 0.336359464 -0.245964025 0.317667817 0.442227524 0.8175875868 -0.0429636384 -0.043046297 -0.389649588 -1.08731886 0.4159641003 -1.4287045
