FAMID ID ILMN_1786759 ILMN_1662174 ILMN_1797861 ILMN_1666206 ILMN_1849013 ILMN_1797428 ILMN_2374770 ILMN_2341724 ILMN_1798947 ILMN_1682727 ILMN_1691693
809 809 -0.0281784857 -0.583772534 -0.1475555778 -0.4917213322 -0.248556571 -0.3918703 0.192664261 0.2832897406 0.2200277455 -0.195731132 -0.9703987
810 810 0.0751615443 0.066569609 0.0258999629 -0.1732719671 -0.514361361 0.003639902 0.128134616 -0.9851438013 -0.9362942938 -0.1893859091 -0.048252358
813 813 0.0541279734 0.305514642 -0.3806657285 -0.4114114225 -0.296672416 0.2946507 -0.226017625 -0.4442088193 -0.485981293 0.0891930256 0.320952565
814 814 0.1527732158 0.315906536 0.264752607 -0.1588438812 0.099344399 -0.1052401 -0.017489581 0.7638615758 0.6963366255 0.0493185954 0.234716872
815 815 0.0133057853 0.174329554 0.3294986827 0.3532040462 0.423765422 -0.2293984 -0.00218033 0.4122243093 0.5095910484 0.1204832005 -0.213713554
826 826 -0.1642276509 -0.598380533 0.1099139223 -0.3693532917 -0.065986222 0.3589088 -0.087786775 -0.7518024325 -0.3164921496 0.195733465 0.128692956
827 827 0.1408245789 0.381664276 -0.6495437093 0.3025531119 -0.424555133 0.3694338 -0.002520014 -0.9981018165 -1.1843179803 -0.1403081439 -0.025113892
829 829 0.1722584428 0.277642308 -0.0505552331 -0.2684624102 0.34853269 0.07640285 -0.428503334 0.7929449378 0.6609977469 0.2941896722 -0.074013335
835 835 NA NA NA NA NA NA NA NA NA NA NA
838 838 -0.0192019064 0.178947228 0.3419072612 0.1605026415 0.192634459 1.09345 -0.065448387 -0.0215786005 0.2434558789 -0.0582470442 0.486525206
840 840 -0.0002784059 -0.621321498 0.7488173428 0.0689853421 0.337399702 -0.3132147 -0.069721446 0.888928827 0.5750386212 0.2067172013 -0.302924254
841 841 -0.2701294764 0.050780773 0.5544213601 0.0538283705 0.330867749 -0.1216199 0.215443447 -0.1085334142 -0.0392613663 -0.1654782304 0.000329762
842 842 -0.3006373085 0.093132627 0.5606544943 0.4486327407 0.070948496 -0.1752996 -0.117993241 0.4637162707 0.6197629526 -0.1578061269 0.316364802
844 844 0.0673044744 -0.013675753 -0.4730208362 0.0825778723 0.011917508 -0.2620482 -0.024949164 -1.2788150332 -1.337196111 0.0398281518 -0.118399411
845 845 -0.0255786029 0.004538805 0.0214640527 -0.2952396755 0.550153952 -0.2769698 -0.147633091 1.2911131136 1.551762137 0.448488915 -0.031130314
854 854 -0.0991289525 0.059734074 -0.2193636668 0.1844158294 -0.062921829 -0.1480632 0.096984187 0.2722809423 0.1757188413 -0.4303225107 -0.15926508
867 867 NA NA NA NA NA NA NA NA NA NA NA
868 868 NA NA NA NA NA NA NA NA NA NA NA
878 878 0.0730806924 -0.394527509 -0.8185978222 0.219048971 0.058670325 -0.1130187 0.143377781 -0.8824746396 -1.0792439648 0.1458005304 -0.260212798
879 879 NA NA NA NA NA NA NA NA NA NA NA
882 882 0.1909262554 0.450007966 -0.2411283507 0.2303462969 -0.201047122 -0.306367 -0.124789243 -0.4569155824 -0.6144058158 0.2027298124 -0.226331848
884 884 NA NA NA NA NA NA NA NA NA NA NA
891 891 0.104372047 0.276520811 -0.2018889338 0.2396314553 -0.213008618 0.3618066 -0.038092966 -0.2712921851 -0.5304039276 0.2359821004 0.315923812
892 892 NA NA NA NA NA NA NA NA NA NA NA
893 893 NA NA NA NA NA NA NA NA NA NA NA
