FAMID ID cg25259754 cg17134153 cg01045635 cg08786003 cg19602479 cg21721331 cg18707136 cg23343972 cg15667493 cg10404427 cg21124310 cg15431103 cg16130019 cg11187739 cg07522171 cg08519799 cg00184826 cg16213375 cg18711369 cg10909506
809 809 -0.116404399 0.516587309 0.657247731 0.09469298 0.14248573 0.4131715 0.088076256 -1.051000236 -0.548447441 -0.13159066 -1.840708271 -0.282939641 0.235048781 0.008198498 0.1327682229 -0.15986537 -0.216476041 0.411275755 0.403387721 0.312492856
810 810 -0.036125505 -0.349064793 -0.160255655 -0.09303336 -0.45009119 -0.00849261 0.075067732 0.663839741 0.598757667 0.52434685 0.855056792 0.245012886 -0.215095692 0.197259441 0.2357797261 0.837370254 -0.1419594 0.21964154 -0.187468482 -0.216297027
813 813 -0.075458175 -0.017630219 0.002718345 -0.12878749 -0.11151429 0.05334338 -0.06187372 0.17851531 -0.041825135 0.51863667 0.409918488 0.30062668 0.409360396 -0.21020696 -0.113435154 0.474584701 0.087017606 0.078632463 -0.220176398 -0.341843961
814 814 -0.008455053 -0.322313954 -0.524572584 -0.5862842 -0.15337198 -0.6226531 0.198524067 -0.425193157 -0.247458636 -0.4668522 -0.588877058 -0.135321735 -0.130404448 0.230469761 0.2142813186 -0.430372924 -0.150246694 -0.177333259 -0.193640482 -0.296435813
815 815 -0.088557818 0.269664681 0.181581223 0.72869792 0.24984394 0.1707569 0.143830175 -0.399765942 -0.423794948 -0.66712655 -0.927519956 -0.468361596 0.294943306 -0.225139721 -0.0612154472 0.347102993 0.091043129 0.049145127 -0.323063795 -0.231546984
826 826 -0.233834986 -0.395276815 -0.931654368 -0.79549115 -0.56511666 -0.7665033 -0.193628415 0.593370376 0.643323883 0.07582781 0.267480748 0.223520961 -0.138495005 0.020841716 -0.2412104529 -0.335537327 0.437469022 -0.038248844 1.05281829 1.908957176
827 827 0.019155544 0.216637683 -0.042402208 0.28516979 -0.10512053 0.04455755 -0.075988786 0.578690793 0.535249406 0.77934561 1.062696523 0.501770589 -0.065202959 0.154382886 0.0047929353 0.031377598 -0.091214426 0.054983172 -0.110379053 -0.39301323
829 829 0.174512786 0.283213321 0.044851458 -0.11774778 -0.47454626 -0.1598512 -0.121729078 -0.54381897 -0.532818436 -0.6348609 -0.755307694 0.177542988 0.200703739 -0.08063372 -0.0610759692 0.195321912 0.118252232 -0.377300993 0.119061937 -0.26577789
835 835 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
838 838 -0.126410598 -0.248580483 0.208163558 0.04697234 0.73023712 0.01197208 0.129946396 -0.787985679 -0.259724379 -0.38591518 -0.050671789 -0.169014358 -0.229397339 0.187503504 0.4536474216 -0.030738861 -0.365316131 0.157182202 -0.356510075 -0.310779039
840 840 0.371764599 0.150916528 0.223961902 -0.01589222 0.31241374 0.4962381 -0.228814341 -0.356012152 -0.48328109 0.24930703 -0.083486546 -0.389478199 -0.237163604 -0.085895628 0.0563696238 0.438651598 0.155978592 0.150331515 0.357430196 1.179852899
841 841 0.200085515 0.50638228 -0.174845165 -0.18037748 -0.06380377 0.2238065 0.173714793 0.835362285 0.257241105 0.65672495 0.617087481 0.353191673 0.051387054 0.094294692 -0.03077655 -0.267405939 0.104393824 0.340241144 0.706155162 0.329131725
842 842 -0.082738252 -0.06927852 0.152558537 -0.0561414 -0.10345346 0.02949358 0.166438193 -0.776762357 -0.470702561 -1.00817509 -0.747400312 -0.452562247 -0.432479461 0.129256302 0.1793530353 -0.093084603 0.066655392 0.064468012 -0.483030706 -0.11367944
844 844 0.040594521 0.07844087 0.540229718 0.41857333 0.9259494 0.4720151 -0.321711951 -0.063881375 0.014067737 -0.01662455 0.498606392 0.103853293 -0.054509126 -0.061558889 -0.2293445613 -0.158266656 0.013296218 -0.34887982 0.111978309 0.081443194
845 845 -0.021010115 0.188995293 0.382329858 0.18098699 0.62690747 0.2606443 0.067064456 -0.046837458 -0.318016707 -0.10394935 -0.619868907 0.14948913 0.219876903 -0.274512562 -0.0634750819 0.109858404 0.237066837 0.196981407 0.284462965 0.048868968
854 854 0.259721275 0.463596124 0.516865722 0.11924238 0.16209123 0.2099177 0.005740138 0.267649675 -0.439811299 -0.15315483 -0.120579143 0.160789736 0.061887991 0.123050518 0.1969907932 -0.16768385 0.16330637 0.342120134 -0.748011771 -0.760773638
867 867 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
868 868 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
878 878 -0.033801278 0.10291391 0.076364184 0.6193765 0.47856988 0.1736834 -0.056990038 0.328037684 0.651802786 0.4208653 0.769875012 0.686299472 0.294956285 -0.359648555 -0.1337566717 -0.270520378 -0.133171594 0.142491324 0.677220174 0.645750389
879 879 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
