FAMID ID cg25259754 cg17134153 cg01045635 cg15602298 cg19602479 cg21721331 cg21473142 cg16523158 cg19954286 cg21794222 cg15222091 cg05094429 cg12816198 cg01527115 cg11944933 cg01383082 cg09528494 cg16429190 cg04986849 cg21497594 cg23507676 cg03002059 cg00288844 cg14348996 cg12749226 cg12655416 cg18711369 cg13200575 cg18691862
809 809 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
810 810 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
813 813 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
814 814 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
815 815 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
826 826 -0.457524786 -0.6379098671 -1.078000032 -0.14636146 -1.447172727 -1.3006358 -0.050300984 0.304527725 0.615233239 0.180280485 0.0581951193 0.0049548743 0.542352109 -0.0009902454 -0.2065162526 -0.199618231 -0.141083455 -0.0910031557 -0.489661239 -0.670809355 -0.024488087 0.024689309 -0.0009430518 0.190640938 0.552874297 0.2278373 0.251131057 0.16685612 0.120144434
827 827 -0.026973527 -0.2411092419 0.099374257 -0.27012199 -0.312429821 0.04629826 0.00156251 -0.473288502 -0.214204984 0.325234697 -0.0498795075 -0.1358031644 0.011532652 0.225313684 0.1940549555 0.1635818775 -0.308421153 -0.5686929094 -0.178731777 -0.621933344 -0.002081761 -0.106997928 0.0194909552 0.363770969 -0.100658375 -0.0738263 -0.286998954 -0.05734837 0.058952691
829 829 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
835 835 0.110985325 0.5069332993 0.644776328 0.67811003 1.397929969 1.28122009 -0.296874529 -0.432271815 -0.05855746 -0.085036764 -0.2884917552 -0.3295501733 -0.182290441 -0.3772986565 0.0576706634 -0.8148521756 -0.211065472 -0.0163048074 -0.008963396 0.270903216 0.010110906 0.062423105 0.2641976591 -0.412552642 -0.040615475 0.1828276 -0.063541852 -0.08831789 -0.28637493
838 838 0.213935395 0.4767775719 0.117848219 0.23912958 -0.323275618 0.02749478 0.285559032 0.073010222 0.044277986 -0.337820436 -0.1360603442 0.0677939816 -0.007309186 -0.1182258352 0.2383271873 0.0005181262 -0.085967209 0.5516069873 0.178775969 0.87731413 0.226686928 -0.001278909 -0.2782684487 -0.387633377 0.567977692 0.1283285 -0.004162198 0.05599021 -0.266513048
840 840 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
